node_id,L1,L2,L3,L4_job_role,core_skills,typical_titles_en,typical_titles_zh,L1_zh
T001,Hardware & Semiconductor,Chip & Semiconductor Design,Digital IC Design,Digital IC Design Engineer,"RTL design, Verilog/VHDL, logic synthesis, timing closure, DFT","Digital IC Design Engineer, RTL Design Engineer, ASIC Design Engineer","数字IC设计工程师, RTL设计工程师, ASIC设计工程师",硬件与半导体
T002,Hardware & Semiconductor,Chip & Semiconductor Design,Analog & Mixed-Signal IC Design,Analog IC Design Engineer,"Analog circuit design, SPICE simulation, layout, RF/mixed-signal","Analog IC Design Engineer, Mixed-Signal Design Engineer, RF IC Engineer","模拟IC设计工程师, 混合信号设计工程师, 射频IC工程师",硬件与半导体
T003,Hardware & Semiconductor,Chip & Semiconductor Design,Physical Design & Verification,Physical Design Engineer,"Floorplanning, P&R, DRC/LVS, timing analysis, Cadence/Synopsys tools","Physical Design Engineer, Layout Engineer, PnR Engineer","物理设计工程师, 版图工程师, 布局布线工程师",硬件与半导体
T004,Hardware & Semiconductor,Chip & Semiconductor Design,Chip Verification,Chip Verification Engineer,"UVM/SystemVerilog, functional verification, formal verification, coverage-driven","Verification Engineer, DV Engineer, FPGA Verification Engineer","芯片验证工程师, DV工程师, 功能验证工程师",硬件与半导体
T005,Hardware & Semiconductor,Chip & Semiconductor Design,EDA & CAD,EDA/CAD Engineer,"EDA tool development, Tcl/Python scripting, CAD flow automation","EDA Engineer, CAD Engineer, Design Automation Engineer","EDA工程师, CAD工程师, 设计自动化工程师",硬件与半导体
T006,Hardware & Semiconductor,Embedded & Firmware,Embedded Software,Embedded Software Engineer,"C/C++, RTOS, bare-metal programming, device drivers, MCU/MPU","Embedded Software Engineer, Firmware Engineer, Embedded Systems Engineer","嵌入式软件工程师, 固件工程师, 嵌入式系统工程师",硬件与半导体
T007,Hardware & Semiconductor,Embedded & Firmware,BSP & Driver Development,BSP/Driver Engineer,"Linux kernel, BSP porting, device driver development, ARM/RISC-V","BSP Engineer, Kernel Driver Engineer, Linux Embedded Engineer","BSP工程师, 驱动开发工程师, 内核工程师",硬件与半导体
T008,Hardware & Semiconductor,Embedded & Firmware,FPGA Development,FPGA Engineer,"FPGA design, Verilog/VHDL, Xilinx/Intel FPGA, hardware acceleration","FPGA Engineer, FPGA Developer, Hardware Engineer (FPGA)","FPGA工程师, 可编程逻辑工程师",硬件与半导体
T009,Hardware & Semiconductor,Hardware Engineering,PCB & Circuit Design,Hardware/PCB Design Engineer,"Schematic design, PCB layout, signal integrity, power integrity, Altium/Cadence","Hardware Engineer, PCB Design Engineer, Circuit Design Engineer","硬件工程师, PCB设计工程师, 电路设计工程师",硬件与半导体
T010,Hardware & Semiconductor,Hardware Engineering,Hardware Testing & Validation,Hardware Test & Validation Engineer,"Hardware bring-up, DVT/EVT/PVT, oscilloscope/logic analyzer, failure analysis","Hardware Validation Engineer, Hardware Test Engineer, Bring-up Engineer","硬件测试工程师, 硬件验证工程师, 硬件调试工程师",硬件与半导体
T011,Hardware & Semiconductor,Hardware Engineering,RF & Communication Hardware,RF/Communication Hardware Engineer,"RF circuit design, antenna design, wireless protocols (5G/WiFi/BT), spectrum analysis","RF Engineer, Antenna Engineer, Wireless Hardware Engineer","射频工程师, 天线工程师, 无线硬件工程师",硬件与半导体
T012,Hardware & Semiconductor,Manufacturing & Process,Semiconductor Process Engineering,Process Engineer (Semiconductor),"Fab process (lithography, etching, deposition), yield improvement, SPC","Process Engineer, Fab Engineer, Yield Engineer","工艺工程师, 制程工程师, 良率工程师",硬件与半导体
T013,Hardware & Semiconductor,Manufacturing & Process,Test & Packaging Engineering,Test & Packaging Engineer,"ATE testing, chip packaging (BGA/QFN/Flip-chip), failure analysis","Test Engineer (Semiconductor), Packaging Engineer, ATE Engineer","测试工程师(半导体), 封装工程师, ATE工程师",硬件与半导体
T014,Systems & Infrastructure Software,Operating Systems & Virtualization,OS Kernel Development,OS/Kernel Engineer,"Linux/Windows kernel, memory management, scheduler, file system, C/Assembly","Kernel Engineer, OS Engineer, Systems Software Engineer","内核工程师, 操作系统工程师, 系统软件工程师",系统与基础设施软件
T015,Systems & Infrastructure Software,Operating Systems & Virtualization,Virtualization & Hypervisor,Virtualization Engineer,"Hypervisor (KVM/Xen/VMware), container runtime, VM lifecycle management","Virtualization Engineer, Hypervisor Engineer, Container Runtime Engineer","虚拟化工程师, Hypervisor工程师, 容器运行时工程师",系统与基础设施软件
T016,Systems & Infrastructure Software,Compiler & Runtime,Compiler Development,Compiler Engineer,"LLVM/GCC, IR design, code generation, optimization passes, language runtimes","Compiler Engineer, Language Runtime Engineer, LLVM Engineer","编译器工程师, 语言运行时工程师",系统与基础设施软件
T017,Systems & Infrastructure Software,Compiler & Runtime,Database Engine Development,Database Engine Engineer,"Query optimizer, storage engine, transaction management, C++, distributed systems","Database Engine Engineer, Storage Engine Engineer, Query Optimizer Engineer","数据库内核工程师, 存储引擎工程师, 查询优化工程师",系统与基础设施软件
T018,Systems & Infrastructure Software,Networking & Protocol,Network Protocol Engineering,Network Protocol Engineer,"TCP/IP stack, SDN, network protocol implementation, kernel networking, DPDK","Network Protocol Engineer, Network Systems Engineer, SDN Engineer","网络协议工程师, 网络系统工程师, SDN工程师",系统与基础设施软件
T019,Systems & Infrastructure Software,Networking & Protocol,Network Infrastructure Engineering,Network Infrastructure Engineer,"Routing/switching, BGP/OSPF, network hardware, data center networking","Network Engineer, Network Infrastructure Engineer, Data Center Network Engineer","网络工程师, 数据中心网络工程师, 基础网络工程师",系统与基础设施软件
