course_id,course_name,proposed_skill,coverage_weight,existing_skill_id,evidence_source,confidence,review_note
CIS5030,Algorithms for Big Data,Algorithms,1,,course description,high,Core course focus
CIS5030,Algorithms for Big Data,Randomized Algorithms,0.9,,course description,high,Explicitly covers randomness
CIS5030,Algorithms for Big Data,Approximation Algorithms,0.9,,course description,high,Explicitly covers approximation
CIS5030,Algorithms for Big Data,Big Data,0.7,,course description,high,Algorithms for massive-scale data
CIS5030,Algorithms for Big Data,Graph Algorithms,0.6,,course description,high,Listed foundational topic
CIS5050,Software Systems (In Development),Software Systems,1,,course title only,low,No description or reviews; verify against syllabus
CIS5050,Software Systems (In Development),Systems Design,0.6,,course title only,low,Tentative; verify against syllabus
CIS5150,Fundamentals of Linear Algebra & Optimization (Math for Machine Learning),Linear Algebra,1,,description and reviews,high,Repeatedly identified as the main mathematical foundation
CIS5150,Fundamentals of Linear Algebra & Optimization (Math for Machine Learning),Optimization,1,,description and reviews,high,Explicit course focus
CIS5150,Fundamentals of Linear Algebra & Optimization (Math for Machine Learning),Machine Learning Mathematics,0.8,,course description,high,Mathematical basis for ML
CIS5150,Fundamentals of Linear Algebra & Optimization (Math for Machine Learning),MATLAB,0.7,2,description and reviews,high,Projects and reviews explicitly mention MATLAB
CIS5150,Fundamentals of Linear Algebra & Optimization (Math for Machine Learning),Support Vector Machines,0.5,,course description,medium,One application of the course material
CIS5210,Artificial Intelligence,Artificial Intelligence,1,,description and reviews,high,Primary course subject
CIS5210,Artificial Intelligence,Search Algorithms,0.9,,description and reviews,high,Major topic repeatedly confirmed in reviews
CIS5210,Artificial Intelligence,Machine Learning,0.8,,course description,high,Explicit topic
CIS5210,Artificial Intelligence,Probabilistic Reasoning,0.8,,course description,high,Explicit topic
CIS5210,Artificial Intelligence,Natural Language Processing,0.6,,course description,high,Explicit topic
CIS5210,Artificial Intelligence,Python,0.8,10,description and reviews,high,Assignments use Python
CIS5210,Artificial Intelligence,PyTorch,0.4,,course reviews,medium,Review identifies PyTorch in a later assignment
CIS5300,Natural Language Processing,Natural Language Processing,1,,description and reviews,high,Primary course subject
CIS5300,Natural Language Processing,Language Models,0.9,,course reviews,high,Reviews mention N-grams and multiple language model families
CIS5300,Natural Language Processing,Transformers,0.8,,course reviews,high,Recent reviews explicitly identify Transformer coverage
CIS5300,Natural Language Processing,Large Language Models,0.7,,course reviews,high,Recent reviews describe growing LLM focus
CIS5300,Natural Language Processing,Machine Learning,0.7,,description and reviews,high,Core supporting method
CIS5300,Natural Language Processing,Hugging Face,0.5,,course reviews,medium,Reviews identify hands-on use
CIS5450,Big Data Analytics,Data Analytics,1,,description and reviews,high,Primary course subject
CIS5450,Big Data Analytics,Data Wrangling,0.9,,description and reviews,high,Explicit pipeline step
CIS5450,Big Data Analytics,Distributed Data Processing,0.9,,course description,high,Scalable computation across many nodes
CIS5450,Big Data Analytics,Apache Spark,0.8,,description and reviews,high,Reviews identify hands-on Spark use
CIS5450,Big Data Analytics,Machine Learning,0.7,,description and reviews,high,Clustering and classification plus model training
CIS5450,Big Data Analytics,Python,0.7,10,course reviews,high,Reviews identify Python data tooling
CIS5470,Software Analysis,C++,0.9,14,review,high,Manually added
CIS5470,Software Analysis,Software Analysis,1,,course description,high,Primary course subject
CIS5470,Software Analysis,Software Testing,0.9,,course description,high,Random testing and automated test generation
CIS5470,Software Analysis,Static Analysis,0.9,,course description,high,Dataflow analysis and type inference
CIS5470,Software Analysis,Symbolic Execution,0.8,,course description,high,Explicit topic
CIS5470,Software Analysis,LLVM,0.8,,course description,high,Programming labs use LLVM
CIS5470,Software Analysis,C++,0.7,14,course description,high,Programming labs use C++
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,C++,0.9,14,review,high,Manually added
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,Wireless Networks,1,,course description,high,Primary course subject
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,5G,0.9,,course description,high,Explicit technology
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,Internet of Things,0.9,,course description,high,Explicit course focus and implementation project
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,Network Protocols,0.8,,course description,high,Protocol stacks and performance analysis
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,Docker,0.5,,course description,medium,Explicitly covered
CIS5490,Wireless Communications for Mobile Networks and Internet of Things,Kubernetes,0.5,,course description,medium,Explicitly covered
CIS5500,Database & Information Systems,Database Systems,1,,course description,high,Primary course subject
CIS5500,Database & Information Systems,SQL,0.9,54,course description,high,Explicit topic
CIS5500,Database & Information Systems,Database Design,0.9,,course description,high,ER and relational design
CIS5500,Database & Information Systems,Transactions,0.8,,course description,high,Explicit topic
CIS5500,Database & Information Systems,Query Optimization,0.8,,course description,high,Explicit topic
CIS5500,Database & Information Systems,NoSQL,0.5,,course description,medium,Survey-level coverage
CIS5510,Computer & Network Security,Cybersecurity,1,,course description,high,Primary course subject
CIS5510,Computer & Network Security,Cryptography,0.9,,course description,high,One of four major areas
CIS5510,Computer & Network Security,Network Security,0.9,,course description,high,One of four major areas
CIS5510,Computer & Network Security,Operating System Security,0.8,,course description,high,One of four major areas
CIS5510,Computer & Network Security,JavaScript,0.9,16,review,high,Manually added
CIS5510,Computer & Network Security,Authentication,0.7,,course description,high,"Passwords, biometrics, PKI and related topics"
CIS5530,Networked Systems,C,0.8,37,review,high,Manually added
CIS5530,Networked Systems,C++,0.8,14,review,high,Manually added
CIS5530,Networked Systems,Computer Networking,1,,course description,high,Primary course subject
CIS5530,Networked Systems,Network Protocols,0.9,,course description,high,Primary implementation focus
CIS5530,Networked Systems,Routing,0.8,,course description,high,Explicit topic
CIS5530,Networked Systems,Distributed Systems,0.7,,course description,high,Explicit topic
CIS5530,Networked Systems,Software-Defined Networking,0.6,,course description,high,Explicit topic
CIS5550,Internet and Web Systems,Distributed Systems,1,,course description,high,Heavily distributed infrastructure
CIS5550,Internet and Web Systems,Scalability,1,,course description,high,Primary systems concern
CIS5550,Internet and Web Systems,Fault Tolerance,0.9,,course description,high,Explicit topic
CIS5550,Internet and Web Systems,Search Engines,0.9,,course description,high,Major implementation project
CIS5550,Internet and Web Systems,Web Systems,0.8,,course description,high,"Course domain, distinct from web design"
CIS5550,Internet and Web Systems,Cloud Computing,0.7,,course description,high,Deployment and cloud infrastructure
CIS5560,Cryptography,Cryptography,1,,course description,high,Primary course subject
CIS5560,Cryptography,Public-Key Cryptography,0.9,,course description,high,Explicit topic
CIS5560,Cryptography,Digital Signatures,0.8,,course description,high,Explicit topic
CIS5560,Cryptography,Zero-Knowledge Proofs,0.7,,course description,high,Advanced topic
CIS5560,Cryptography,Secure Multiparty Computation,0.6,,course description,medium,Possible advanced topic selection
CIS5580,Secure System Engineering and Management,Threat Modeling,1,,course description,high,Explicit core technique
CIS5580,Secure System Engineering and Management,Secure System Design,0.9,,course description,high,Explicit core technique
CIS5580,Secure System Engineering and Management,Secure Software Development,0.9,,course description,high,Explicit core technique
CIS5580,Secure System Engineering and Management,Security Operations,0.8,,course description,high,Explicit core technique
CIS5580,Secure System Engineering and Management,Security Risk Management,0.7,,course description,high,Risk-based security decisions
CIS5690,GPU Computing for Machine Learning Systems,GPU Programming,1,,course description,high,Primary course subject
CIS5690,GPU Computing for Machine Learning Systems,Parallel Computing,0.9,,course description,high,Massively parallel programming
CIS5690,GPU Computing for Machine Learning Systems,Machine Learning Systems,0.9,,course description,high,Course applies GPU computing to ML systems
CIS5690,GPU Computing for Machine Learning Systems,C,0.8,37,review,high,Manually added
CIS5690,GPU Computing for Machine Learning Systems,C++,0.8,14,review,high,Manually added
CIS5690,GPU Computing for Machine Learning Systems,Distributed Machine Learning,0.8,,course description,high,GPU datacenter and large-scale networks
CIS5690,GPU Computing for Machine Learning Systems,Performance Optimization,0.8,,course description,high,"Profiling, debugging and acceleration"
CIS5810,Computer Vision & Computational Photography,Computer Vision,1,,course description,high,Primary course subject
CIS5810,Computer Vision & Computational Photography,Image Processing,0.9,,course description,high,"Features, morphing, stitching and pixels"
CIS5810,Computer Vision & Computational Photography,Computational Photography,0.9,,course description,high,Primary course subject
CIS5810,Computer Vision & Computational Photography,Deep Learning,0.7,,course description,high,Deep learning for images
CIS5810,Computer Vision & Computational Photography,Linear Algebra,0.4,,course description,medium,Stated foundation rather than central outcome
CIS5980,Artificial Intelligence Capstone,Applied Artificial Intelligence,1,,course description,high,End-to-end AI application capstone
CIS5980,Artificial Intelligence Capstone,AI Application Development,1,,course description,high,"Design, development and deployment"
CIS5980,Artificial Intelligence Capstone,Model Fine-Tuning,0.8,,course description,high,Explicit expected activity
CIS5980,Artificial Intelligence Capstone,AI Evaluation,0.8,,course description,high,Benchmarks and custom evaluation metrics
CIS5980,Artificial Intelligence Capstone,AI Deployment,0.8,,course description,high,Full development cycle through deployment
CIT5910,Introduction to Software Development,Python,0.9,10,description and reviews,high,First half programming language
CIT5910,Introduction to Software Development,Java,0.9,52,description and reviews,high,Second half programming language
CIT5910,Introduction to Software Development,Object-Oriented Programming,0.9,,course description,high,"Polymorphism, inheritance and interfaces"
CIT5910,Introduction to Software Development,Data Structures,0.7,,course description,high,Core and advanced data structures
CIT5910,Introduction to Software Development,Test-Driven Development,0.6,,course description,high,Explicit technique
CIT5910,Introduction to Software Development,Debugging,0.6,,course description,high,Explicit technique
CIT5920,Mathematical Foundations of Computer Science,Discrete Mathematics,1,,description and reviews,high,Primary course subject
CIT5920,Mathematical Foundations of Computer Science,Probability,0.8,,course description,high,Discrete probability and expectation
CIT5920,Mathematical Foundations of Computer Science,Graph Theory,0.8,,course description,high,Explicit topic
CIT5920,Mathematical Foundations of Computer Science,Combinatorics,0.8,,course description,high,Permutations and combinations
CIT5920,Mathematical Foundations of Computer Science,Mathematical Proofs,0.7,,description and reviews,high,Induction and mathematical reasoning
CIT5930,Introduction to Computer Systems,Computer Architecture,1,,course description,high,Primary course subject
CIT5930,Introduction to Computer Systems,C,0.9,37,course description,high,Primary programming language
CIT5930,Introduction to Computer Systems,Assembly,0.8,1,course description,high,Instruction-set and machine-language work
